Year Installed,Month Installed,Object ID,Address,Location,Street,Placement,Number of Racks,Number of Spaces,Last Edited Date,Geom
2013,4,677,18 VIRGINIA AVE,Emmy's Spaghetti Shack,VIRGINIA,SIDEWALK,2,4,,"(37.7429186783, -122.421280209)"
2013,4,678,1201 GENEVA AVE,Tienda Santa Marta,NAPLES,SIDEWALK,1,2,,"(37.7143369483, -122.435828009)"
2013,5,679,746 VALENCIA ST,Outfit Generic,VALENCIA,SIDEWALK,1,2,,"(37.7609569478, -122.421824009)"
2013,4,680,45 MONTGOMERY ST,24 Hour Fitness,MONTGOMERY,SIDEWALK,2,4,,"(37.7897599477, -122.402524009)"
2013,6,681,80 29TH ST,Rock Bar,29th St,SIDEWALK,1,2,,"(37.7441412179, -122.422072209)"
2013,5,682,1001 GUERRERO ST,Beast and the Hare,Guerrero,SIDEWALK,1,2,,"(37.7549409475, -122.422930009)"
2015,1,683,2850 21st st,Bistro L’Aviateur,21ST ST,SIDEWALK,2,4,,"(37.7574922475, -122.411612708)"
2015,1,684,701 HAIGHT ST,Black Sands Brewery,PIERCE,SIDEWALK,2,4,,"(37.7714549483, -122.433855008)"
2004,0,685,3200 CALIFORNIA ST,Jewish Communtiy Center,CALIFORNIA ST,SIDEWALK,5,10,,"(37.7874859476, -122.447385008)"
2012,0,686,3200 CALIFORNIA ST,Jewish Communtiy Center,CALIFORNIA ST,SIDEWALK,4,8,,"(37.7874859476, -122.447385008)"
2013,0,687,3200 CALIFORNIA ST,Jewish Communtiy Center,CALIFORNIA ST,SIDEWALK,4,8,,"(37.7874859476, -122.447385008)"
2013,5,688,1019 CLEMENT ST,Standard Plumbing Ace Hardware,Clement,SIDEWALK,2,4,,"(37.7824649477, -122.470288009)"
2013,4,689,798 HAIGHT ST,Santa Clara Organic Market,SCOTT,SIDEWALK,1,2,,"(37.7717719476, -122.435226009)"
2013,5,690,4900 CALIFORNIA ST,San Francisco Free Clinic,CALIFORNIA ST,SIDEWALK,2,4,,"(37.7848089475, -122.470104008)"
2013,5,691,1520 LYON ST,The Little School,Lyon,SIDEWALK,2,4,,"(37.7851359476, -122.444717009)"
2013,6,692,3463 16TH ST,Cafe Sophie,16TH ST,SIDEWALK,1,2,,"(37.7642010778, -122.429975509)"
2013,10,693,901 MARKET ST,Marshall's and Sports Basement and Stantec,MARKET,SIDEWALK,2,4,,"(37.7834699478, -122.408041009)"
2013,6,694,199 VALENCIA ST,Zeitgeist,Duboce,SIDEWALK,8,16,,"(37.7700279476, -122.422098009)"
2013,9,695,1 HALLIDIE PLZ,NextSpace,MARKET,SIDEWALK,3,6,,"(37.7841311981, -122.408771208)"
2013,11,696,2324 SACRAMENTO ST,California Pacific Medical Center,SACRAMENTO,SIDEWALK,2,4,,"(37.7906147278, -122.431434009)"
2010,0,697,2366 MISSION ST,Siegel's Clothing Superstore,MISSION,SIDEWALK,1,2,,"(37.7592219477, -122.419412009)"
2013,5,698,2001 POLK ST,Cheese Plus,Polk,SIDEWALK,2,4,,"(37.795229948, -122.421832008)"
2013,4,699,448 GROVE ST,Oxenrose Salon,GROVE,SIDEWALK,1,2,,"(37.7778849475, -122.424119009)"
2013,4,700,1124 POLK ST,Let it Bleed Tattoo,Polk,SIDEWALK,1,2,,"(37.7871109482, -122.419719009)"
2013,4,701,87 MCALLISTER ST,Mirtille Cafe,McAllister,SIDEWALK,3,6,,"(37.7806999476, -122.413270009)"
2013,4,702,2390 MISSION ST,Bikram Yoga,MISSION,SIDEWALK,1,2,,"(37.7587699481, -122.419369008)"
2013,5,703,1500 17TH ST,Fenix International,17TH ST,SIDEWALK,2,4,,"(37.7653559478, -122.399048008)"
2013,6,704,810 ILLINOIS ST,Portrero Kids on Third,Illinois,SIDEWALK,2,4,,"(37.7611829475, -122.388119009)"
2013,6,705,314 CHURCH ST,Chili Pie,CHURCH,SIDEWALK,1,2,,"(37.765893948, -122.428983009)"
2013,5,706,3344 24TH ST,Campfire Art Gallery,24TH ST,SIDEWALK,2,4,,"(37.752341968, -122.419427509)"
2013,8,707,2565 SAN BRUNO AVE,Portola Family Connection,San Bruno,SIDEWALK,1,2,,"(37.7294759478, -122.404057009)"
2013,6,708,235 KANSAS ST,16th and Kansas Streets Building LLC,Kansas,SIDEWALK,2,4,,"(37.7664249476, -122.403342009)"
2013,5,709,748 VAN NESS AVE,Philz Coffee,Van Ness,SIDEWALK,2,4,,"(37.7823789477, -122.420163008)"
2013,10,710,3001 STEINER ST,City Cycle of San Francisco,Steiner,SIDEWALK,1,2,,"(37.7969999475, -122.437418009)"
2013,7,711,1981 UNION ST,lululemon athletica,Union,SIDEWALK,1,2,,"(37.797321948, -122.431810008)"
2015,1,712,2124 MARKET ST,Blackbird,MARKET ST,SIDEWALK,2,4,,"(37.7672762475, -122.429599909)"
2013,5,713,3153 17TH ST,ODC Theater,17TH ST,SIDEWALK,2,4,,"(37.7633889475, -122.416447008)"
2013,6,714,351 SHOTWELL ST,ODC Dance Commons,SHOTWELL,SIDEWALK,2,4,,"(37.7628109477, -122.415843009)"
2010,0,715,2390 MISSION ST,Bikram Yoga,MISSION,SIDEWALK,1,2,,"(37.7587699481, -122.419369008)"
2002,0,716,2435 MISSION ST,office building,MISSION,SIDEWALK,1,2,,"(37.7580619475, -122.418642009)"
2012,10,717,2482 MISSION ST,multiple,MISSION,SIDEWALK,1,2,,"(37.7574403077, -122.419377709)"
2010,12,718,2534 MISSION ST,Foreign Cinema,MISSION,SIDEWALK,1,2,,"(37.7563879482, -122.419261008)"
0,0,719,2534 MISSION ST,Foreign Cinema,MISSION,SIDEWALK,1,2,,"(37.7563879482, -122.419261008)"
2015,1,720,1605 TARAVAL ST,Bloom,TARAVAL,SIDEWALK,1,2,,"(37.7425548481, -122.483440908)"
2010,12,721,2575 MISSION ST,Doc's Clock,MISSION,SIDEWALK,2,4,,"(37.7559459475, -122.418440009)"
2013,4,722,2663 MISSION ST,Grand Coffee,MISSION,SIDEWALK,1,2,,"(37.754403948, -122.418292008)"
2000,0,723,2690 MISSION ST,Walgreens,MISSION,SIDEWALK,2,4,,"(37.7540289475, -122.418974009)"
2002,0,724,2733 MISSION ST,Smoke Time,MISSION,SIDEWALK,1,2,,"(37.7532659477, -122.418183009)"
2011,3,725,2751 MISSION ST,Artillery Apparel Gallery,MISSION,SIDEWALK,1,2,,"(37.7530629479, -122.418164008)"
0,0,726,2798 MISSION ST,China Express,MISSION,SIDEWALK,1,2,,"(37.7523989479, -122.418804009)"
